brain_weight,body_weight
3.385,44.5
0.48,15.5
1.35,8.1
465.0,423.0
36.33,119.5
27.66,115.0
14.83,98.2
1.04,5.5
4.19,58.0
0.425,6.4
0.10099999999999999,4.0
0.92,5.7
1.0,6.6
0.005,0.14
0.06,1.0
3.5,10.8
2.0,12.3
1.7,6.3
0.023,0.3
187.1,419.0
521.0,655.0
0.785,3.5
10.0,115.0
3.3,25.6
0.2,5.0
1.41,17.5
529.0,680.0
207.0,406.0
85.0,325.0
0.75,12.3
3.5,3.9
6.8,179.0
35.0,56.0
4.05,17.0
0.12,1.0
0.023,0.4
0.01,0.25
1.4,12.5
250.0,490.0
2.5,12.1
55.5,175.0
100.0,157.0
52.16,440.0
10.55,179.5
0.55,2.4
60.0,81.0
3.6,21.0
4.288,39.2
0.28,1.9
0.075,1.2
0.122,3.0
0.048,0.33
192.0,180.0
3.0,25.0
160.0,169.0
0.9,2.6
1.62,11.4
0.10400000000000001,2.5
4.235,50.4
